iter	RMSE
0	2.187217852
1	2.161280349
2	2.140160897
3	2.120322971
4	2.101003827
5	2.08281369
6	2.065835291
7	2.050163962
8	2.034172836
9	2.016892532
10	2.001032495
11	1.986374251
12	1.97415936
13	1.960209223
14	1.948616969
15	1.93714043
16	1.927705662
17	1.916552644
18	1.908515322
19	1.901217772
20	1.892564329
21	1.883586684
22	1.873706209
23	1.863243608
24	1.854851814
25	1.848193964
26	1.839911103
27	1.832765148
28	1.826024522
29	1.819509339
30	1.814153036
31	1.807790977
32	1.800974456
33	1.796158582
34	1.788566676
35	1.782494825
36	1.777927052
37	1.773226441
38	1.769580258
39	1.763806061
40	1.759121949
41	1.754053863
42	1.748502409
43	1.745171442
44	1.741994386
45	1.736206176
46	1.732199655
47	1.728395406
48	1.724613191
49	1.721290997
