hidden_dims,dropout,lr,batch_size,mae,rmse
"[64, 32]",0.3,0.001,16,0.1191549003124237,0.1382815078151045
"[256, 128, 64]",0.1,0.0005,32,0.10455846786499023,0.13854019198911555
"[1024, 512, 256]",0.4,0.005,128,0.10364480316638947,0.13876449822809298
"[256, 128, 64]",0.4,0.01,128,0.120193250477314,0.13880742526793746
"[64, 32]",0.1,0.001,16,0.11762165278196335,0.13956687786361385
"[128, 64, 32]",0.3,0.005,64,0.10355380177497864,0.13997533191332237
"[512, 256, 128, 64]",0.3,0.005,128,0.0917714536190033,0.140012546513552
"[1024, 512, 256]",0.2,0.0005,64,0.121201291680336,0.14015661490487488
"[128, 64, 32]",0.1,0.0005,16,0.11820677667856216,0.1410546956660507
"[128, 64]",0.2,0.001,16,0.1226811483502388,0.14156375906554888
"[512, 256]",0.3,0.005,128,0.1153588593006134,0.1416208977488144
"[512, 256, 128, 64]",0.4,0.005,64,0.12557940185070038,0.1419471863557818
"[128, 64]",0.4,0.01,64,0.12900683283805847,0.1429235180974813
"[1024, 512, 256]",0.1,0.0001,32,0.1005115881562233,0.1431440071328502
"[512, 256]",0.4,0.01,128,0.1208139955997467,0.14379595250102498
"[128, 64]",0.1,0.001,128,0.1169111356139183,0.1441112744291903
"[1024, 512, 256]",0.4,0.001,64,0.11867047846317291,0.14412695165976916
"[1024, 512, 256]",0.3,0.0005,16,0.12430524826049805,0.14428211984543635
"[512, 256]",0.2,0.01,128,0.13352422416210175,0.1444790397885056
"[128, 64]",0.1,0.001,64,0.10633338242769241,0.14472830072509701
"[256, 128, 64]",0.1,0.001,16,0.11601810157299042,0.1447744900191344
"[256, 128, 64]",0.3,0.001,16,0.13419462740421295,0.14547752218706847
"[64, 32]",0.2,0.0005,16,0.11659879237413406,0.14551298401110374
"[512, 256]",0.3,0.0005,64,0.1224544495344162,0.14559962429134723
"[256, 128, 64, 32]",0.2,0.0005,16,0.12009595334529877,0.1461153277103544
"[128, 64, 32]",0.2,0.001,32,0.12966062128543854,0.146152979782986
"[512, 256, 128]",0.4,0.001,16,0.1298653483390808,0.1467306609798249
"[256, 128, 64]",0.2,0.001,64,0.12195811420679092,0.1469356705776026
"[1024, 512, 256]",0.4,0.001,32,0.12908174097537994,0.1474191214784941
[32],0.3,0.0005,16,0.12014270573854446,0.1476327135612906
"[512, 256]",0.2,0.0005,32,0.11992035806179047,0.14763683287294035
[32],0.1,0.001,16,0.12137846648693085,0.14779196461462088
"[256, 128, 64, 32]",0.1,0.001,32,0.115731380879879,0.14827963942727365
"[64, 32]",0.3,0.005,128,0.13091786205768585,0.1484345322864407
[32],0.3,0.005,64,0.12210896611213684,0.14894216478624794
"[256, 128, 64, 32]",0.4,0.005,64,0.12415961921215057,0.14967054281967004
"[512, 256]",0.1,0.005,128,0.12803801894187927,0.14990119436612423
"[256, 128, 64, 32]",0.2,0.001,32,0.13802224397659302,0.15061860948476366
"[1024, 512, 256]",0.1,0.0005,64,0.11409500241279602,0.15121782378330675
"[512, 256]",0.3,0.0005,16,0.1398928016424179,0.15145339971777383
"[128, 64, 32]",0.4,0.01,128,0.10619712620973587,0.15145635747101724
[32],0.2,0.001,16,0.1283167600631714,0.1523713551477325
"[512, 256, 128]",0.4,0.0005,64,0.13287174701690674,0.152404736269453
"[256, 128, 64, 32]",0.4,0.001,16,0.12255093455314636,0.15254733958237562
"[1024, 512, 256]",0.4,0.0005,16,0.13837400078773499,0.15315734195728598
"[256, 128, 64, 32]",0.3,0.005,128,0.11474431306123734,0.15412397596347005
"[1024, 512, 256]",0.3,0.0005,64,0.10827336460351944,0.1543779522308503
"[512, 256, 128]",0.4,0.01,128,0.11983514577150345,0.1547723337632534
"[64, 32]",0.2,0.01,128,0.1239534467458725,0.15494453936724256
"[128, 64]",0.2,0.001,64,0.13421764969825745,0.15508995371370438
"[512, 256, 128]",0.3,0.001,64,0.12620176374912262,0.15518216983615193
[32],0.3,0.01,128,0.12818695604801178,0.15518577068193412
"[128, 64]",0.2,0.0005,16,0.13093583285808563,0.15520640191747537
"[512, 256, 128, 64]",0.4,0.001,16,0.1375836580991745,0.15619430741552615
"[512, 256, 128]",0.1,0.0001,32,0.12947894632816315,0.1563210862103548
"[1024, 512, 256]",0.4,0.0005,64,0.14163294434547424,0.15647881562274812
"[512, 256, 128, 64]",0.1,0.0001,32,0.12756575644016266,0.1569109467721038
"[256, 128, 64]",0.2,0.0005,32,0.1318347454071045,0.1572114096027215
"[512, 256]",0.4,0.005,128,0.14207051694393158,0.15761643992155727
"[512, 256, 128, 64]",0.4,0.001,32,0.13089941442012787,0.15777187674369753
"[512, 256, 128]",0.1,0.0001,16,0.13267017900943756,0.15819859792566388
"[512, 256, 128, 64]",0.4,0.0005,32,0.1310826987028122,0.1590232138560706
[32],0.4,0.005,64,0.1333538442850113,0.15932117212314564
"[512, 256, 128]",0.2,0.001,128,0.14179490506649017,0.15966388568848786
[32],0.3,0.01,64,0.13151854276657104,0.16018064824787254
"[512, 256]",0.2,0.0001,16,0.13414236903190613,0.16019656092713763
"[64, 32]",0.1,0.001,32,0.12816789746284485,0.16062776425873782
[32],0.4,0.01,128,0.13812562823295593,0.16156942573142802
"[256, 128, 64]",0.4,0.005,128,0.1463998407125473,0.1619617180354879
"[512, 256, 128]",0.4,0.001,32,0.148042693734169,0.16206997656908065
"[128, 64]",0.1,0.005,128,0.1250995695590973,0.16221193723017302
"[512, 256]",0.1,0.001,128,0.12975846230983734,0.1624160130036084
"[512, 256]",0.2,0.0001,32,0.14185775816440582,0.16271684762821798
"[128, 64, 32]",0.2,0.0005,16,0.14164236187934875,0.16333359627576832
[32],0.2,0.005,32,0.1369747370481491,0.16450744986585863
"[128, 64]",0.3,0.005,64,0.14209607243537903,0.16494200182954577
"[256, 128, 64]",0.3,0.005,128,0.1352037638425827,0.16643912769636185
[32],0.1,0.01,128,0.14419041574001312,0.16690560377253347
"[128, 64]",0.3,0.005,128,0.1431620866060257,0.16707867619056008
"[128, 64]",0.1,0.0005,32,0.1373215913772583,0.16771438656321824
"[1024, 512, 256]",0.2,0.0001,32,0.13656874001026154,0.16797194366967497
"[128, 64, 32]",0.3,0.001,16,0.15662184357643127,0.16844996561906078
"[128, 64, 32]",0.2,0.0005,32,0.14769423007965088,0.1689524070264455
"[128, 64]",0.4,0.001,32,0.14460279047489166,0.17009320336379646
"[256, 128, 64]",0.4,0.001,16,0.15654617547988892,0.17096757307817176
[32],0.1,0.01,64,0.14490048587322235,0.17107771053642024
"[512, 256, 128]",0.1,0.0005,64,0.15299786627292633,0.17142567640120773
"[1024, 512, 256]",0.1,0.0005,128,0.15356363356113434,0.1726908017017869
"[128, 64]",0.1,0.0005,64,0.14190715551376343,0.17499123108556186
"[512, 256, 128, 64]",0.3,0.001,64,0.14922678470611572,0.1755113755252261
"[512, 256, 128]",0.4,0.0005,16,0.1580139845609665,0.1757057769663455
"[1024, 512, 256]",0.1,0.0001,16,0.1538902074098587,0.17602798840937797
"[1024, 512, 256]",0.2,0.0005,128,0.1482943743467331,0.17655476873907336
[32],0.1,0.01,32,0.14646516740322113,0.17690624938274815
"[64, 32]",0.2,0.0005,32,0.13325536251068115,0.1774149004171306
"[512, 256, 128, 64]",0.3,0.001,128,0.14753131568431854,0.1780900854057327
"[256, 128, 64, 32]",0.4,0.005,128,0.1259949952363968,0.1782052645623833
[32],0.4,0.005,128,0.14925701916217804,0.17822184105255556
[32],0.3,0.001,16,0.1501830369234085,0.17824310812460534
"[128, 64]",0.2,0.0005,64,0.1464080661535263,0.17838108911393086
"[512, 256]",0.3,0.0001,32,0.16060979664325714,0.17907130278009
"[512, 256, 128, 64]",0.2,0.0005,64,0.15951988101005554,0.17918287821179
"[512, 256, 128, 64]",0.3,0.0005,32,0.1559963822364807,0.17920395847465662
[32],0.2,0.001,32,0.15190131962299347,0.1792456023762156
"[128, 64, 32]",0.3,0.001,64,0.1502244919538498,0.17933275615884062
"[512, 256, 128]",0.1,0.0001,64,0.15548105537891388,0.18061351584519042
"[512, 256, 128, 64]",0.1,0.0005,64,0.13986597955226898,0.18078107395344886
"[128, 64]",0.4,0.005,64,0.1632862240076065,0.18105259948645774
"[128, 64, 32]",0.3,0.0005,64,0.15767639875411987,0.18236737836124997
[32],0.2,0.005,64,0.1425810158252716,0.18238449571412457
"[512, 256]",0.4,0.0005,32,0.16009880602359772,0.18259282893141623
"[256, 128, 64, 32]",0.3,0.001,32,0.16823945939540863,0.18261047595741534
"[256, 128, 64, 32]",0.3,0.0005,32,0.15866641700267792,0.1834268419980963
"[512, 256]",0.4,0.0005,128,0.16190949082374573,0.18411666382437417
"[128, 64]",0.4,0.01,128,0.17613887786865234,0.18438888392464062
"[256, 128, 64]",0.3,0.0005,16,0.16977091133594513,0.18496668604263006
"[1024, 512, 256]",0.4,0.0005,32,0.1573958694934845,0.1854021411378094
[32],0.2,0.0005,16,0.1669478565454483,0.18561150278605423
"[64, 32]",0.1,0.0005,32,0.15374916791915894,0.1859529669122879
"[64, 32]",0.4,0.001,16,0.1701584756374359,0.18634703918041404
"[512, 256, 128]",0.4,0.0005,32,0.16463959217071533,0.18682655948979357
"[64, 32]",0.2,0.001,32,0.16704760491847992,0.1886668948983299
"[64, 32]",0.3,0.001,64,0.1672900915145874,0.18879111137517549
"[512, 256, 128, 64]",0.2,0.001,128,0.15844662487506866,0.18932300700553267
"[128, 64]",0.2,0.0005,128,0.1741119772195816,0.1893446700355048
[32],0.1,0.0005,32,0.15259072184562683,0.1894522696406925
"[1024, 512, 256]",0.4,0.001,128,0.15882548689842224,0.18976021486864822
"[256, 128, 64]",0.4,0.001,64,0.15960881114006042,0.18985409924276306
"[128, 64]",0.4,0.005,128,0.1718849092721939,0.1915824915642876
"[256, 128, 64, 32]",0.2,0.001,64,0.17556674778461456,0.19309778532536634
"[512, 256]",0.4,0.0005,16,0.18157368898391724,0.1947641590826793
"[128, 64]",0.2,0.001,128,0.16038264334201813,0.19520431383290468
"[64, 32]",0.4,0.005,64,0.1799762099981308,0.1968297486298457
"[512, 256]",0.1,0.0001,16,0.16579382121562958,0.19714320510502578
"[512, 256]",0.3,0.0001,16,0.173940047621727,0.19749227099747166
"[128, 64]",0.3,0.001,16,0.17445088922977448,0.19771638679147213
"[128, 64, 32]",0.1,0.0005,64,0.17839600145816803,0.19874396500931674
"[128, 64, 32]",0.4,0.001,32,0.17388221621513367,0.1996457721798748
"[128, 64]",0.2,0.0005,32,0.16755062341690063,0.19986660651403712
[32],0.4,0.001,32,0.17503803968429565,0.20025360375279846
"[128, 64]",0.3,0.001,32,0.17483438551425934,0.2003928349839684
"[128, 64]",0.3,0.0005,16,0.17786742746829987,0.20158709109911746
"[64, 32]",0.4,0.001,64,0.1771167516708374,0.20163366406976396
[32],0.1,0.001,32,0.15238632261753082,0.2019109390439335
"[128, 64, 32]",0.3,0.001,128,0.1728895753622055,0.2023564157977245
"[256, 128, 64]",0.1,0.001,64,0.18508340418338776,0.2026249158248397
"[128, 64]",0.3,0.001,64,0.1879289448261261,0.20358408803256017
[32],0.4,0.01,64,0.1734798550605774,0.20473314060356398
"[128, 64, 32]",0.3,0.0005,32,0.18747290968894958,0.20592917104210784
"[512, 256, 128, 64]",0.4,0.001,128,0.18394386768341064,0.2065826810711341
"[256, 128, 64]",0.1,0.0005,64,0.1858021765947342,0.20725447837916994
"[256, 128, 64]",0.3,0.001,128,0.1922636777162552,0.2082408888673836
"[512, 256, 128]",0.3,0.0005,64,0.18478038907051086,0.20892566676269086
"[128, 64, 32]",0.3,0.001,32,0.17656633257865906,0.20909961304022212
"[512, 256, 128]",0.4,0.001,128,0.1862909495830536,0.20914706911711872
"[256, 128, 64]",0.3,0.0005,32,0.18785718083381653,0.20945041600673467
"[64, 32]",0.3,0.0005,16,0.17694121599197388,0.20987069608104783
"[128, 64]",0.1,0.0001,16,0.17205820977687836,0.21047285792441872
"[512, 256]",0.4,0.001,128,0.19870445132255554,0.21096126987609232
"[512, 256, 128]",0.3,0.0005,128,0.17379790544509888,0.21104164554869487
[32],0.3,0.001,64,0.17119792103767395,0.2121161977889499
"[128, 64]",0.4,0.0005,64,0.19182300567626953,0.21214355839622123
"[512, 256]",0.1,0.0005,128,0.1913418173789978,0.21241744415275107
[32],0.3,0.005,128,0.17851464450359344,0.21464381017721582
"[64, 32]",0.4,0.01,128,0.1987784206867218,0.2147003302009497
"[512, 256]",0.2,0.0005,128,0.18940116465091705,0.2153882236644336
"[256, 128, 64]",0.4,0.001,32,0.2058444768190384,0.21638106946735194
"[512, 256, 128, 64]",0.1,0.0001,16,0.19099222123622894,0.21638679382504716
"[512, 256, 128]",0.1,0.001,128,0.1899845153093338,0.21722673638043083
"[256, 128, 64]",0.3,0.001,64,0.18155886232852936,0.21757224330109062
"[512, 256]",0.3,0.0005,128,0.2032228410243988,0.21805751558622277
"[512, 256]",0.4,0.0005,64,0.20203174650669098,0.21862004029966253
[32],0.3,0.0005,64,0.1935390830039978,0.21865991031559232
"[512, 256, 128]",0.3,0.001,128,0.18064111471176147,0.21934911734164497
"[512, 256, 128]",0.4,0.001,64,0.2012951821088791,0.21944258246624446
"[512, 256]",0.3,0.0005,32,0.18418680131435394,0.2195377555914967
"[128, 64, 32]",0.4,0.005,128,0.19232402741909027,0.2212222164161064
"[128, 64, 32]",0.4,0.0005,16,0.20093201100826263,0.22123532564454826
[32],0.1,0.0005,16,0.18961811065673828,0.2215978412527544
"[128, 64]",0.3,0.0005,32,0.1864730715751648,0.2223583872595379
"[512, 256]",0.2,0.0005,64,0.19388064742088318,0.22317704145474895
"[256, 128, 64, 32]",0.1,0.0001,16,0.18832828104496002,0.2232646910771826
"[128, 64]",0.3,0.001,128,0.19367265701293945,0.22428808037587591
[32],0.4,0.001,16,0.19320672750473022,0.2251202205842182
"[128, 64, 32]",0.1,0.0001,32,0.1775446981191635,0.2251208411335109
"[256, 128, 64, 32]",0.4,0.001,32,0.20624999701976776,0.22588459078657055
"[512, 256, 128]",0.2,0.0001,16,0.19618059694766998,0.2274584647923239
"[256, 128, 64]",0.4,0.0005,16,0.21816407144069672,0.227946224119434
"[512, 256, 128]",0.3,0.0001,16,0.20449770987033844,0.22797313919966616
"[64, 32]",0.1,0.001,64,0.18586599826812744,0.22873967753242685
"[64, 32]",0.3,0.001,32,0.20475473999977112,0.22973164179660832
"[512, 256, 128, 64]",0.1,0.001,128,0.19523578882217407,0.22997273393651407
"[512, 256, 128, 64]",0.4,0.001,64,0.19221565127372742,0.23016547599579346
"[512, 256]",0.4,0.001,64,0.21207331120967865,0.23025814228851596
"[1024, 512, 256]",0.3,0.0005,128,0.19551804661750793,0.23106527715360076
[32],0.3,0.001,128,0.1953878551721573,0.2319943880412621
"[1024, 512, 256]",0.3,0.0001,32,0.20529396831989288,0.23200542742961872
"[64, 32]",0.2,0.001,64,0.20120784640312195,0.23220609216967827
[32],0.2,0.005,128,0.20182769000530243,0.2325237035076613
"[128, 64, 32]",0.4,0.001,16,0.21802495419979095,0.23311287077524936
"[512, 256, 128, 64]",0.3,0.0005,64,0.20834797620773315,0.2341280033068639
"[64, 32]",0.4,0.005,128,0.22057084739208221,0.23425494934133756
[32],0.4,0.0005,32,0.2005566507577896,0.23464453616327466
"[1024, 512, 256]",0.1,0.0001,64,0.2041597068309784,0.2357666107269377
"[128, 64, 32]",0.1,0.001,64,0.20025557279586792,0.23590293182624675
"[1024, 512, 256]",0.4,0.0001,16,0.19428551197052002,0.2361696279269323
"[128, 64]",0.3,0.0005,64,0.20834389328956604,0.2367133555411386
"[256, 128, 64]",0.3,0.0005,64,0.21644964814186096,0.2367906379444662
"[1024, 512, 256]",0.4,0.0005,128,0.2057144045829773,0.23700161799600844
"[128, 64]",0.4,0.001,16,0.23183658719062805,0.23833561105212184
"[512, 256]",0.2,0.0001,128,0.19446030259132385,0.23854000081947946
"[128, 64, 32]",0.2,0.0005,64,0.22560462355613708,0.23901239381162062
"[512, 256, 128, 64]",0.1,0.0005,128,0.20808124542236328,0.23908653356630333
"[512, 256, 128, 64]",0.4,0.0005,16,0.2300204038619995,0.23998230991882027
"[64, 32]",0.4,0.0005,16,0.22448472678661346,0.24073490475333678
"[128, 64, 32]",0.1,0.001,128,0.21172548830509186,0.24182286808397663
[32],0.1,0.001,64,0.17938899993896484,0.24309541890054137
[32],0.2,0.0005,32,0.20809541642665863,0.24503137218558407
"[512, 256]",0.1,0.0001,64,0.21848660707473755,0.24601854961615716
"[256, 128, 64, 32]",0.3,0.001,64,0.2071177363395691,0.246284479072873
"[1024, 512, 256]",0.3,0.0001,16,0.20246735215187073,0.2466004619697705
"[256, 128, 64, 32]",0.2,0.0001,64,0.22018377482891083,0.24731058191129715
"[256, 128, 64, 32]",0.4,0.001,64,0.20524176955223083,0.2477086983387415
[32],0.1,0.0005,64,0.2086172252893448,0.2482939563378275
"[128, 64, 32]",0.1,0.0005,32,0.2123039811849594,0.24831349018897098
"[512, 256, 128, 64]",0.4,0.0005,64,0.23508787155151367,0.24851641930960167
"[512, 256]",0.1,0.0001,32,0.199168860912323,0.2489952071400773
"[256, 128, 64, 32]",0.3,0.0005,16,0.24213454127311707,0.24904572630223115
"[512, 256, 128]",0.3,0.0001,32,0.22263768315315247,0.2499067684018901
"[512, 256, 128]",0.1,0.0005,128,0.20750869810581207,0.2499931230195233
[32],0.1,0.005,64,0.2095913290977478,0.25105987828362286
"[256, 128, 64]",0.2,0.0001,16,0.21230155229568481,0.25132947815260154
"[512, 256]",0.1,0.0005,64,0.22358129918575287,0.2549997843245922
"[64, 32]",0.3,0.0001,16,0.2115112692117691,0.25702594937131656
"[512, 256, 128]",0.2,0.0005,128,0.23700934648513794,0.25715213066600207
"[64, 32]",0.4,0.001,32,0.24538077414035797,0.2585279190769258
"[256, 128, 64, 32]",0.1,0.0005,64,0.2315119355916977,0.2585726859050664
"[128, 64]",0.4,0.001,64,0.22270354628562927,0.2594187578954775
"[512, 256]",0.4,0.0001,16,0.22723838686943054,0.260650089872108
[32],0.3,0.001,32,0.22632549703121185,0.260768374724619
"[256, 128, 64, 32]",0.3,0.001,128,0.24830619990825653,0.2608010443505633
[32],0.1,0.0001,64,0.20384785532951355,0.26181841134168304
"[256, 128, 64, 32]",0.2,0.0005,32,0.2363482266664505,0.2623394679616931
"[256, 128, 64]",0.1,0.001,128,0.22385454177856445,0.2627479330348154
"[256, 128, 64, 32]",0.1,0.001,128,0.23696832358837128,0.2630494577424363
"[256, 128, 64, 32]",0.4,0.0005,16,0.2514926493167877,0.2657771656411032
"[64, 32]",0.4,0.0005,32,0.2403692901134491,0.26808028888712865
"[512, 256, 128]",0.2,0.0001,32,0.23990701138973236,0.2704517843565963
"[128, 64]",0.3,0.0005,128,0.23681576550006866,0.2713345313091646
"[128, 64, 32]",0.2,0.0001,16,0.25798699259757996,0.2723822804878933
"[512, 256]",0.4,0.0001,64,0.24926193058490753,0.2727961648505404
"[128, 64, 32]",0.4,0.001,64,0.25072577595710754,0.27421174108345714
"[256, 128, 64]",0.4,0.0005,32,0.2496860772371292,0.2743557226538731
[32],0.4,0.0005,16,0.24138666689395905,0.2754015683644404
"[256, 128, 64]",0.2,0.001,128,0.2408897578716278,0.27813994603234626
"[512, 256]",0.3,0.001,128,0.26158416271209717,0.2783895975173065
"[128, 64, 32]",0.4,0.0005,32,0.2699960172176361,0.2807479456964814
[32],0.1,0.005,128,0.2392183542251587,0.28231978939122043
[32],0.4,0.001,64,0.23819150030612946,0.28293520652257725
"[512, 256, 128]",0.4,0.0005,128,0.24492502212524414,0.28297312374515815
"[256, 128, 64]",0.2,0.0005,64,0.26495078206062317,0.2834308629378677
[32],0.4,0.0005,128,0.21903739869594574,0.28388127655387285
"[256, 128, 64]",0.4,0.0005,64,0.27627480030059814,0.28476060567233874
"[128, 64, 32]",0.3,0.0005,16,0.2691444754600525,0.28714431498192355
[32],0.2,0.0005,64,0.24354927241802216,0.2877656481628359
"[1024, 512, 256]",0.2,0.0001,64,0.25184449553489685,0.2900531136034432
[32],0.3,0.0005,32,0.2558797299861908,0.2905688600769248
"[128, 64]",0.1,0.0001,128,0.2631068527698517,0.291801620097562
"[128, 64]",0.4,0.0005,16,0.2774784564971924,0.29226193678343043
"[256, 128, 64, 32]",0.2,0.0005,64,0.2706677317619324,0.2928204224531499
"[128, 64]",0.4,0.001,128,0.27031445503234863,0.29564944577509494
[32],0.2,0.001,64,0.23946698009967804,0.2971375208163614
"[256, 128, 64]",0.1,0.0001,16,0.27355173230171204,0.2971903355981625
"[1024, 512, 256]",0.4,0.0001,32,0.28128781914711,0.29758186011500315
"[256, 128, 64]",0.1,0.0001,64,0.2631797194480896,0.3027325783953116
"[512, 256, 128, 64]",0.3,0.0005,128,0.2773527204990387,0.30277274104011054
"[128, 64]",0.2,0.0001,16,0.2759803235530853,0.30279140550502315
"[256, 128, 64]",0.3,0.0001,16,0.2809079587459564,0.30337573378450217
"[512, 256]",0.1,0.0001,128,0.2735787034034729,0.3067110551752114
"[256, 128, 64]",0.2,0.0005,128,0.2921803593635559,0.3177064155562423
"[128, 64]",0.4,0.0005,32,0.300716370344162,0.3179262292160397
"[64, 32]",0.1,0.0005,64,0.29003360867500305,0.3181409144777047
"[512, 256, 128]",0.4,0.0001,16,0.27763763070106506,0.31899770854109005
"[64, 32]",0.3,0.0005,64,0.29239392280578613,0.32575101597774625
"[64, 32]",0.4,0.001,128,0.3116189241409302,0.32795548601666924
"[64, 32]",0.2,0.001,128,0.2971862852573395,0.3315282377360953
"[1024, 512, 256]",0.3,0.0001,64,0.31554487347602844,0.33287675577532205
"[64, 32]",0.3,0.001,128,0.2875460982322693,0.33603116880898537
"[128, 64]",0.3,0.0001,16,0.312377005815506,0.337961299759451
"[256, 128, 64, 32]",0.3,0.0005,64,0.3118821978569031,0.3419667067258877
"[512, 256, 128, 64]",0.4,0.0001,16,0.3227718770503998,0.34325303654115946
"[128, 64]",0.4,0.0005,128,0.32462483644485474,0.3440366005396124
"[128, 64, 32]",0.2,0.001,128,0.29706254601478577,0.3452145847605553
"[128, 64]",0.4,0.0001,16,0.3083171844482422,0.34921680552306084
"[512, 256]",0.3,0.0001,64,0.31317928433418274,0.3492884841522014
[32],0.4,0.0001,16,0.2936703860759735,0.34951315253603976
"[256, 128, 64, 32]",0.2,0.001,128,0.33306095004081726,0.35465037281807904
"[256, 128, 64, 32]",0.4,0.0005,32,0.3302290439605713,0.3553475603035722
"[512, 256, 128, 64]",0.2,0.0001,16,0.3336743712425232,0.35584605806559794
[32],0.1,0.001,128,0.3253748118877411,0.3567086070386112
"[256, 128, 64, 32]",0.4,0.0005,64,0.3288869261741638,0.3579672316440332
"[64, 32]",0.1,0.0005,128,0.33062878251075745,0.35882308291981785
"[512, 256, 128]",0.2,0.0001,64,0.3361327350139618,0.3604039306632149
"[64, 32]",0.4,0.0005,128,0.3367282748222351,0.3665342607539572
[32],0.2,0.001,128,0.32551923394203186,0.3697563767944001
"[512, 256]",0.4,0.0001,32,0.34010636806488037,0.3709098159306222
"[256, 128, 64]",0.3,0.0005,128,0.3427652418613434,0.3719009053800086
"[1024, 512, 256]",0.4,0.0001,64,0.3544309139251709,0.37235905614617315
"[512, 256, 128, 64]",0.4,0.0001,32,0.36645978689193726,0.3790474461446175
"[256, 128, 64]",0.1,0.0005,128,0.34282439947128296,0.37958416808183476
"[512, 256]",0.2,0.0001,64,0.3209615647792816,0.3801924318968548
"[128, 64, 32]",0.3,0.0001,16,0.37499597668647766,0.38363584221452546
[32],0.2,0.0001,16,0.33486905694007874,0.3839403975208357
"[128, 64, 32]",0.1,0.0005,128,0.36330971121788025,0.3882456603903847
"[512, 256]",0.4,0.0001,128,0.37371280789375305,0.38904159060749804
[32],0.1,0.0001,16,0.33324602246284485,0.38922237344017674
"[64, 32]",0.3,0.0005,32,0.35353583097457886,0.3907060539076325
"[128, 64]",0.1,0.0001,64,0.35058608651161194,0.3912100416259868
"[128, 64, 32]",0.3,0.0001,32,0.39016300439834595,0.40942330039075076
"[128, 64, 32]",0.4,0.001,128,0.4003598988056183,0.4128603307893904
"[256, 128, 64, 32]",0.2,0.0005,128,0.39406877756118774,0.414885818015137
"[256, 128, 64]",0.1,0.0001,32,0.38400617241859436,0.41537569643020217
"[128, 64]",0.1,0.0005,128,0.3822605013847351,0.4154242130953669
"[128, 64]",0.2,0.0001,64,0.38461458683013916,0.4176241086615214
"[256, 128, 64, 32]",0.3,0.0001,16,0.4041229486465454,0.41778430255816473
"[512, 256, 128]",0.3,0.0001,128,0.4079861044883728,0.4227195868569502
[32],0.4,0.0005,64,0.3911226689815521,0.4295252060005303
"[1024, 512, 256]",0.3,0.0001,128,0.41107380390167236,0.43149742063920576
[32],0.3,0.0001,16,0.3787439167499542,0.4322666444392398
"[128, 64]",0.3,0.0001,32,0.39896807074546814,0.43569333133015536
"[512, 256, 128, 64]",0.4,0.0005,128,0.4260389804840088,0.4387774889776441
"[128, 64, 32]",0.4,0.0005,128,0.42625224590301514,0.4424290580240503
"[256, 128, 64]",0.4,0.001,128,0.42913147807121277,0.4456149797262663
"[1024, 512, 256]",0.2,0.0001,128,0.4327770471572876,0.4496803731399977
"[512, 256, 128, 64]",0.2,0.0001,32,0.43597811460494995,0.45372198504407263
"[512, 256, 128, 64]",0.3,0.0001,32,0.43656522035598755,0.4540329912157401
"[512, 256, 128, 64]",0.1,0.0001,64,0.4366992712020874,0.4681216638087123
"[512, 256, 128]",0.3,0.0001,64,0.45653098821640015,0.47802845036161334
"[256, 128, 64]",0.3,0.0001,32,0.4644058346748352,0.47828933659135037
"[512, 256, 128]",0.4,0.0001,32,0.4600820243358612,0.47857285760653956
"[256, 128, 64]",0.4,0.0005,128,0.4746335446834564,0.4857559515057886
"[512, 256, 128]",0.1,0.0001,128,0.46232450008392334,0.48725415351921525
"[256, 128, 64, 32]",0.4,0.0001,32,0.4710123538970947,0.4880363002539488
"[256, 128, 64, 32]",0.1,0.0001,128,0.4524785578250885,0.4894067077059731
"[64, 32]",0.1,0.001,128,0.48523515462875366,0.4966810609691259
"[256, 128, 64, 32]",0.4,0.0001,16,0.4917011260986328,0.4987767724091386
[32],0.1,0.0001,32,0.4666801393032074,0.5001524156484831
[32],0.4,0.0001,32,0.4690547585487366,0.5042186921707466
"[64, 32]",0.1,0.0001,128,0.4691223204135895,0.507485651320767
[32],0.2,0.0001,64,0.4507083594799042,0.5084392201512364
"[128, 64, 32]",0.2,0.0005,128,0.49852946400642395,0.5088282769553064
"[1024, 512, 256]",0.1,0.0001,128,0.4867648482322693,0.5114061696734017
"[128, 64]",0.3,0.0001,128,0.4898722469806671,0.5129654817363771
"[512, 256, 128, 64]",0.3,0.0001,64,0.49919593334198,0.5131129425806717
"[512, 256]",0.3,0.0001,128,0.4918476641178131,0.5138314003047575
"[64, 32]",0.1,0.0001,16,0.47708261013031006,0.5175723957248498
"[256, 128, 64, 32]",0.1,0.0001,32,0.4935668706893921,0.5175859270767345
"[128, 64]",0.1,0.0001,32,0.4898260533809662,0.5179303967759964
[32],0.4,0.001,128,0.4833158552646637,0.5210677350597904
"[64, 32]",0.1,0.0001,32,0.4773326814174652,0.5240783184942022
"[128, 64]",0.4,0.0001,32,0.5132319927215576,0.5279313099081532
"[512, 256, 128, 64]",0.3,0.0001,16,0.5193970203399658,0.5295203606326426
"[128, 64, 32]",0.2,0.0001,32,0.5082834959030151,0.5299060876882846
"[1024, 512, 256]",0.4,0.0001,128,0.520812451839447,0.5308866660855232
"[256, 128, 64]",0.2,0.0001,128,0.5134108066558838,0.5317663600433339
[32],0.3,0.0001,32,0.4770023822784424,0.5351700328527789
"[256, 128, 64]",0.4,0.0001,16,0.5318692922592163,0.5381851797092627
"[64, 32]",0.2,0.0005,64,0.5202359557151794,0.5416933902848482
