G,AB,H,HR,BB,SO,SB,2B,3B,OPS,OBP,SLG,wOBA,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,HR/FB,wOBA,wRC,wRC+,WAR,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,Zone%,F-Strike%,OPS_target
160,602,153,31,66,137,31,33,2,0.806,0.336,0.47,0.346,0.254,0.336,0.47,0.806,0.216,0.277,0.096,0.19899999999999998,0.48,0.14400000000000002,0.346,99,121,5.5,0.201,0.341,0.45799999999999996,0.46799999999999997,0.33299999999999996,0.19899999999999998,0.14400000000000002,0.502,0.354,91.2,19.2,0.10400000000000001,0.439,0.305,0.73,0.48,0.6609999999999999,0.873,0.7929999999999999,0.099,0.41200000000000003,0.606,0.806
155,565,161,25,57,125,54,30,10,0.868,0.362,0.506,0.37,0.285,0.362,0.506,0.868,0.221,0.325,0.08800000000000001,0.19399999999999998,0.46,0.154,0.37,106,132,5.4,0.19,0.439,0.371,0.42700000000000005,0.331,0.242,0.142,0.524,0.33299999999999996,90.0,11.0,0.076,0.409,0.305,0.67,0.455,0.682,0.885,0.805,0.08900000000000001,0.41100000000000003,0.5720000000000001,0.868
159,636,179,37,59,172,3,32,3,0.861,0.345,0.516,0.363,0.281,0.345,0.516,0.861,0.234,0.324,0.083,0.24100000000000002,0.34,0.19399999999999998,0.363,113,128,5.1,0.185,0.413,0.402,0.41100000000000003,0.358,0.23199999999999998,0.126,0.461,0.413,92.3,13.5,0.139,0.488,0.31,0.7190000000000001,0.48200000000000004,0.596,0.831,0.743,0.124,0.42,0.61,0.861
137,525,173,22,65,94,0,35,0,0.932,0.41,0.522,0.402,0.33,0.41,0.522,0.932,0.192,0.367,0.10800000000000001,0.157,0.69,0.177,0.402,115,163,5.0,0.19399999999999998,0.52,0.28600000000000003,0.314,0.41100000000000003,0.275,0.106,0.47600000000000003,0.418,93.4,5.7,0.095,0.54,0.228,0.685,0.426,0.6809999999999999,0.9009999999999999,0.8340000000000001,0.07,0.433,0.593,0.932
157,574,163,29,80,92,30,37,5,0.886,0.369,0.517,0.372,0.284,0.369,0.517,0.886,0.233,0.289,0.11900000000000001,0.136,0.87,0.139,0.372,112,140,5.0,0.191,0.384,0.425,0.449,0.32899999999999996,0.222,0.11800000000000001,0.494,0.38799999999999996,90.2,14.8,0.10400000000000001,0.445,0.259,0.731,0.465,0.696,0.904,0.8390000000000001,0.075,0.43700000000000006,0.616,0.886
145,546,144,38,30,172,20,36,1,0.857,0.315,0.542,0.358,0.264,0.315,0.542,0.857,0.278,0.314,0.05,0.289,0.17,0.23,0.358,92,128,4.9,0.19699999999999998,0.364,0.439,0.46799999999999997,0.303,0.22899999999999998,0.18899999999999997,0.47600000000000003,0.335,89.1,16.1,0.152,0.41700000000000004,0.433,0.799,0.58,0.518,0.8190000000000001,0.685,0.183,0.40299999999999997,0.6890000000000001,0.857
145,534,142,19,94,125,2,35,0,0.818,0.38,0.438,0.359,0.266,0.38,0.438,0.818,0.172,0.314,0.147,0.196,0.75,0.12300000000000001,0.359,99,136,4.9,0.23199999999999998,0.391,0.377,0.43,0.35,0.22,0.18600000000000003,0.502,0.312,88.3,15.1,0.048,0.36200000000000004,0.21899999999999997,0.604,0.385,0.6990000000000001,0.903,0.8370000000000001,0.063,0.429,0.528,0.818
147,565,138,22,66,154,9,25,3,0.744,0.328,0.416,0.325,0.244,0.328,0.416,0.744,0.172,0.297,0.10300000000000001,0.24100000000000002,0.43,0.152,0.325,81,106,4.9,0.203,0.446,0.35100000000000003,0.46,0.35600000000000004,0.184,0.121,0.528,0.35100000000000003,89.3,13.0,0.109,0.395,0.284,0.733,0.474,0.613,0.7929999999999999,0.731,0.127,0.42200000000000004,0.618,0.744
150,560,143,28,56,159,10,29,9,0.814,0.325,0.489,0.346,0.255,0.325,0.489,0.814,0.234,0.306,0.09,0.256,0.35,0.193,0.346,90,123,4.7,0.191,0.45,0.359,0.39899999999999997,0.35100000000000003,0.25,0.114,0.493,0.39399999999999996,92.0,11.4,0.114,0.517,0.29,0.695,0.46799999999999997,0.624,0.8270000000000001,0.7559999999999999,0.114,0.439,0.625,0.814
148,555,136,39,65,175,9,29,0,0.836,0.328,0.508,0.354,0.245,0.328,0.508,0.836,0.263,0.28,0.10300000000000001,0.27699999999999997,0.37,0.215,0.354,96,126,4.6,0.163,0.368,0.469,0.425,0.345,0.231,0.11199999999999999,0.462,0.426,92.1,15.7,0.161,0.49700000000000005,0.33,0.743,0.486,0.585,0.789,0.703,0.14400000000000002,0.37799999999999995,0.5760000000000001,0.836
